,0,1,2,3,4,Mean,Std
recall,0.8181818181818182,1.0,0.8181818181818182,1.0,0.9,0.9072727272727275,0.09099995459085232
precision,0.9,0.6470588235294118,0.6428571428571429,0.7857142857142857,0.6,0.7151260504201681,0.12477081595617805
sensitivity,0.8181818181818182,1.0,0.8181818181818182,1.0,0.9,0.9072727272727275,0.09099995459085232
specificity,0.9285714285714286,0.5714285714285714,0.6428571428571429,0.7857142857142857,0.5714285714285714,0.7,0.15485345277627716
accuracy,0.88,0.76,0.72,0.88,0.7083333333333334,0.7896666666666667,0.08465944851121003
F1,0.8571428571428572,0.7857142857142858,0.7200000000000001,0.88,0.7200000000000001,0.7925714285714286,0.07482223831815493
brier,0.13747980475852128,0.21611177912884738,0.21619411310923276,0.12476560348807517,0.21498134261464819,0.18190652861986495,0.04657896534718267
AUC,0.9285714285714286,0.7207792207792207,0.7142857142857143,0.9545454545454546,0.75,0.8136363636363637,0.11790677284967675
