,0,1,2,3,4,Mean,Std
recall,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7,0.8127272727272727,0.1338557259585888
precision,0.875,0.625,0.5555555555555556,0.8333333333333334,0.7,0.7177777777777777,0.13538069322752574
sensitivity,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7,0.8127272727272727,0.1338557259585888
specificity,0.9285714285714286,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.7857142857142857,0.7142857142857142,0.20824828195876074
accuracy,0.8,0.72,0.64,0.88,0.75,0.758,0.08955445270895245
F1,0.7368421052631579,0.7407407407407406,0.6896551724137931,0.8695652173913043,0.7,0.7473606471617991,0.07187032173496982
brier,0.21298718003775144,0.2611122038633015,0.2661181776241424,0.1413554023992835,0.19791343338767742,0.21589727946243126,0.051124619399915264
AUC,0.7532467532467533,0.6493506493506493,0.6103896103896104,0.9025974025974025,0.75,0.7331168831168832,0.11345997441936831
