1,original_shape_SurfaceArea,logarithm_glrlm_GrayLevelNonUniformity,wavelet-LHL_glcm_InverseVariance,original_shape_Compactness2,original_shape_Compactness1
1234026,-0.5902644840754206,-0.39642592919976366,1.4362036704620411,-0.35207383410519094,-0.22172388735946805
1290264,-1.1795177760069135,-0.39264479459625545,0.3620023661106668,1.6836700390159904,1.4687769988557053
1313585,-0.5534630084784717,-0.10045615915121037,1.223822056728111,-0.07659522594413234,0.04706844819332873
1319491,0.13097376589832588,0.17028440107344991,1.2525648894804402,1.3162772098558966,1.2033189688988473
1340213,0.0949739538926267,-0.7439607141363339,1.3010531965178769,0.366830763568772,0.4468342042268575
1345116,0.1841900656425088,-0.5345223929131216,1.2763701044804299,-1.3461206171296962,-1.402241327446061
1347742,-0.955105983187831,-0.9378100348390732,1.5625738763807118,1.6771886294549743,1.4642026611631807
1360543,2.2273856510384538,-0.5582186500423657,1.2318744669568367,-1.5084845272074074,-1.6474342418556032
1361111,0.3600062529645755,0.10645977360221737,0.5821214262700236,1.146251329422187,1.0759048035100764
1363165,-0.48559470425581136,-0.9659579230284884,1.5043274610962702,1.0365944209117393,0.9920553710402389
1404820,1.0839415936982515,2.037982421616407,0.3309224875619792,0.11805095515576358,0.22704836690160887
1412799,-0.07991571026601746,-1.1166394562487845,0.2556793527145095,-1.4852493934617674,-1.6108933571152733
1422362,0.8637158131821889,1.0358823645479522,0.43315076443763123,-0.9317627706909114,-0.8582797990499583
1474840,0.524293586756499,-0.9932782538934228,-0.14178030028132113,-1.4920152466868128,-1.6214792108479783
1475214,-0.5092831965041953,-0.4742992175533938,1.1537679236486371,0.978575512731438,0.9471330617026265
1482287,-1.4038845800093187,-0.6075982212736338,1.553863744703415,2.1231383768338525,1.7706985159642574
1487216,0.0434776912784664,-0.21390226209189334,0.9456485912684216,0.2448693003805678,0.34043125359931736
1494519,-0.9160570061216344,-0.8679295930938749,0.6153933261577648,0.9300831611653663,0.9092808456780204
1505342,-1.2499052184353217,-1.3703365275697692,-1.0373475302793047,-1.8706344146432603,-2.308449310311953
1513571,-0.13700287486649115,-0.584052633071933,0.6673528683468836,1.0886814407326435,1.032053033300616
1516688,-1.6519282171861907,-1.1103622730669611,0.7564683687142965,-0.36741655674952994,-0.23723710350207436
1520407,0.5616718760695655,-0.37633819397837687,-0.28819026186214336,-1.3646921779892747,-1.4291674420328824
1530123,-0.984195477178214,-0.5934395459501225,-1.1291941997129011,0.3559168395072882,0.4374131167721318
1571633,0.589373926996944,0.5863089736627506,1.0956429594085855,-0.6968466495194333,-0.5865863929993274
1584572,-0.029629089430217866,-0.02580119157938726,0.03747766162174521,0.49691060418815647,0.5576699215442381
1623338,2.3947294411744773,0.9633119361673291,0.4529986522130429,-0.6763620815176754,-0.5638706089789265
1635671,-0.21714422069547643,-0.18402832830858656,0.8507324830039535,0.6226687900312768,0.6623967681377573
1639329,0.12695420748238295,1.0551183810201348,0.3207159491784045,0.12627704105648316,0.23449189939907217
1658208,1.509320094148037,2.4880027622641583,0.6369427626616566,0.6205065195402782,0.660615373341746
