1,original_shape_SurfaceArea,original_shape_Compactness2,original_shape_MinorAxis,wavelet-LHL_firstorder_Kurtosis,wavelet-HHL_firstorder_Median
1234026,-0.9821914055539156,-0.3574254440535277,-0.8135916196891466,-0.9735623299598607,0.3571317794395635
1290264,-0.7437163145796001,0.4780603255511,-0.4206188209429499,-0.8568384718333599,-0.2843718339970201
1313585,-0.21655357097917,-0.7018332233836815,-0.3587007555510887,-0.11325670518179551,-0.391278763006924
1319491,0.11293995981666853,0.9246915082483976,0.2658460563780076,0.847817122845103,-0.7081284906610417
1340213,-0.007268936278863453,0.38519234317146644,0.687124349434526,-0.32406263275091496,-0.11983276421604777
1345116,-0.07995391697356652,-1.0760831903462758,-0.7398200338920443,-0.6576320163931506,-1.252364378605547
1347742,-1.1814903711503797,1.6570694662608698,-1.547497334627779,-0.636699816711308,0.08975430075687378
1360543,1.719640675792883,-1.1203295037344825,1.5566706721029648,0.3354336386567133,-0.020005005801234658
1361111,0.3122717208290053,1.4945964699372933,0.7160200141406686,0.4645707563887377,0.15393277870630695
1363165,-0.5744947245631754,0.7651421469144722,-0.45551427330441496,3.1361410100238345,0.22124761213585079
1404820,0.9378768148465058,0.47370446697547075,0.645283332607725,-0.632688609184274,-0.059183302506072344
1412799,-0.21395603311149067,-1.3211841770129942,-1.0805805077443937,-0.8958463047300409,0.6003881960959863
1422362,0.5950083304146021,-0.7731766014395378,0.9343167922934305,0.04109912067510518,0.05530474462885496
1474840,0.6326063606826233,-1.5349022074942638,0.6811889060874888,-0.3394751990901541,1.318335527237138
1475214,-0.6217279777411658,1.3291145673504348,-0.15514470647210415,-0.07498619796753554,0.30141629291222277
1482287,-1.488140507454681,1.943610309468908,-1.715435460800162,-1.1106213920764503,0.3204445717919751
1487216,-0.05854953267992803,0.3209368256921425,-0.2383160826958941,-0.8839243957869545,0.5808205045225406
1494519,-1.1092833775586974,1.0562276198677902,-1.3865488449719139,0.7200159705999006,2.3485003110774616
1505342,-1.320973069327479,-1.7991623132655759,-0.3942837523635492,-0.5973885843353276,-0.19097796862815472
1513571,-0.4871613979906518,1.0772949057781471,-0.2370665243733405,-0.9450976827100173,0.850358962566912
1516688,-1.6457963537114224,-0.018380518751903867,-2.165408716379598,-1.2764829379026483,-3.4126735281249734
1520407,0.4020527721603108,-1.3989304148762467,0.6507606073193966,-0.5033090826655818,1.538384811424267
1530123,-1.2786132052584447,0.48768049063337693,-0.9709661594452375,-0.014990042219464123,2.0566131252360442
1571633,0.5328554242507634,-0.4592283067684795,0.9208884157615379,0.7380215842987451,0.63105437126784
1584572,0.5114980841676304,-0.3147142768376577,0.3883934700105524,1.1716358587460534,-0.41088787560514584
1623338,2.326776400782584,-0.38172216648616547,1.9012481176808245,-0.4687368617692191,1.6119915372660711
1635671,-0.29026259556106243,0.7155135396520593,-0.5666807105132893,-0.06253596823059661,-1.011474902440103
1639329,0.04727268844169053,0.2832833105854075,-0.07200977038662122,-1.0789313447061695,-0.18832761663369016
1658208,1.7208982353135314,0.039866154671896505,1.3258199863443938,-0.9152077128700259,0.9818964379217074
1665919,-0.6726778295884231,1.13805569909699,-0.027770265153636047,0.6812354449509447,0.5982903798174992
1733323,-0.13815809976434562,-0.6589400341891803,-0.1124949463501956,-0.48489293457384897,0.019540016657375158
1746937,0.407289665660692,-1.4040572446840967,-0.6383100782687959,-0.9951040877861282,-0.5691791997168049
1748605,0.5545029071649215,0.2935861745136073,0.6170470815163415,-0.6027410425853627,-0.07546412536111502
1749834,-0.04659492605591902,-0.07476344991187069,0.08438904500885235,-0.5960458637319379,-0.22029803437841508
1752507,-0.24440403997563717,1.4240972179432618,-0.4261898625399364,-0.6925708620367967,0.17468549183847695
1852075,-0.39180653472032384,-1.3116497311672932,-0.8103578332955726,-1.0283078958412826,0.33278092887876753
1866875,0.9597450606927174,-0.22388342415256496,1.3765630341265143,-0.022707885883118402,0.4262779850711642
1875022,-0.2577999980004838,0.09368907893896507,-0.6851392497902851,-0.669425552940128,0.4585268603855052
1882825,0.6444296327735026,-1.175214303100878,0.3202922822473665,-0.09135820244690274,-0.25544955218622933
1900711,0.37008284768457966,-1.1190865722340126,1.155117820823142,-0.05137149972445698,-0.0010787251181806888
1916533,-0.887763836449715,-0.30524711740628757,-0.7873268740820933,-0.47142568655013184,-0.6708930436277609
1917045,-0.14799019717501558,-1.074449175443815,0.07736086254741756,-0.5296060450886205,0.6057952401974848
