3,original_shape_SurfaceArea,original_shape_MinorAxis,wavelet-HHL_firstorder_Median
1234026,-1.0587239757573765,-0.8565567763947111,0.3646256132516391
1290264,-0.8400278375781661,-0.4917815669720911,-0.3625558848573916
1299628,0.41021720179085025,0.2648124919228937,0.44816239201831126
1313585,-0.3565875933734238,-0.4343064049699825,-0.48374108033773294
1319491,-0.05442201941063391,0.14542632676752346,-0.8429085967865501
1319857,0.010786502324826029,0.197447941698542,-0.4389102434985292
1345116,-0.231317416578065,-0.7880786381000635,-1.4598314948511093
1347742,-1.2414932282649782,-1.537801411436485,0.06153775616614742
1360543,1.419020092963337,1.3436283932496158,-0.06288077445873708
1361111,0.12837730848459863,0.5632982513470709,0.1342877777780518
1404820,0.7020951652548253,0.49763724910374335,-0.10729164276010535
1412799,-0.35420549343118324,-1.104387994902956,0.640370849574207
1422362,0.38766394670591614,0.7659312407575819,0.02248718917064241
1474840,0.4221436233428647,0.5309664340430277,1.454205728891241
1476232,-1.5183353501460763,-1.9867767921066752,-1.2528374210225814
1487216,-0.21168829654713212,-0.3225598810575505,0.618189737925145
1494519,-1.1752750308695419,-1.3884017094525556,2.621957172720367
1503424,-1.4427085972256601,-1.566274117310692,-0.46213717823975636
1506433,2.0454688406573776,2.130496157175492,1.7250492202044625
1513571,-0.6047514015375763,-0.3213999842396294,0.9237271902688647
1520407,0.2107119838907638,0.5027215043916154,1.7036443365333707
1571633,0.33066595794695464,0.7534664114430456,0.6751327351437684
1584572,0.31107998031349066,0.2591804049496196,-0.5059691451172516
1623338,1.9758004169099719,1.663480836660476,1.7870818231623293
1635671,-0.4241832443873593,-0.6273628502738271,-1.186769322654937
1649096,0.18408314784002086,0.7697484767169115,-0.46315032780314047
1658208,1.4201733514004031,1.1293422963197244,1.0728325364937548
1665919,-0.7748812335190217,-0.12712168550794764,0.6379928533288305
1734265,0.9549165445289932,0.5121318663688363,-0.8186324309977127
1738377,0.8890478356474886,1.164344759712116,-0.005975382957808724
1746937,0.21551453320486608,-0.6938524844347402,-0.6854015283403857
1748605,0.3505180141733917,0.4714270777177556,-0.1257468983599213
1752507,-0.3821281644709025,-0.49695286094390456,0.15781217999370692
1763425,-0.6516941574562662,-0.24061152529489735,0.040209425462347674
1785582,0.38441932560636766,0.9895811715071152,0.4296169264001818
1786828,-0.32936266006621256,-0.5769923827233373,0.289962380653904
1823737,3.645338457993261,3.0070199322029643,-0.3434503723504375
1862840,0.13264925536005348,0.1540042658076796,-0.5370449753494996
1875022,-0.39441307135688114,-0.7373214494708459,0.4795628097362622
1882825,0.43298628173688464,0.1959657877865385,-0.3297708034090834
1887594,-0.053444111410318816,-0.11261368434914241,0.101870789927965
1899144,-1.3034452644904486,-1.058716221743318,0.5278936007964473
1914087,1.689736572049973,1.7235941127305414,-0.0568520359372139
1917576,-0.2997355328257531,-0.3326387333905482,-0.08273195829281776
1946620,-0.95827485507371,-1.0862726930298432,0.06164563074990528
1946686,-0.24441108560070185,-0.10211690014571496,-0.4171950944634129
1964559,1.0415480576318226,0.6252869624513804,0.2762659350988568
1972723,-1.0517889201143202,-0.7869831224912874,-0.19148375303407525
2041488,-0.9069414783048486,-0.9137093243121036,0.6374996191337209
2041926,-0.8288621375501484,-0.5208134134362842,0.04264812262807863
2043090,-1.0488798003699824,-1.3868062996568389,-0.9521739424351486
2069266,-0.6180474943813952,-0.35785761491438134,-0.6188184168874871
2078766,-0.7879335962847112,-0.4563739137995295,-0.14860789889940795
2087925,0.8058144741787594,0.563361714607339,-0.6205775846545123
2088610,1.3532241909398046,1.5352514142034193,1.0683343153301805
2162482,1.6195265776178882,1.5440663626248514,-0.11563051382063291
2201121,-1.2454247356158832,-1.4102655746184887,0.8517619170367323
2202690,0.03842291277835277,-0.023492169145161224,-0.1887466350381485
2220159,-0.844834297064103,-0.7821133388637498,0.1396704483835181
2305736,0.258734492590185,0.18403949254227847,0.8216921356302536
2308926,0.4667929419313298,0.9215341583696509,-0.11667553634482059
2317237,-0.5251048773397902,-0.08969334775950247,-0.29056126792474757
2319190,-1.6956960499316607,-1.4631897145917163,-4.840517141024386
2319401,0.0029881281365779543,-0.06044919951124187,-0.41274385857411827
2328060,0.5165904691247946,1.2968093263055334,-0.38653509545335396
2367260,1.6390978630344268,0.8191287340066882,0.10620160948358696
2382604,-0.6105146151774891,-0.514560107578959,0.006769985393274455
2389902,0.4497170603572584,0.8578086137305848,0.09248991489852783
2394582,0.22509533338331222,0.34724160309448115,-0.10609671433378055
2451112,0.18563439559679829,0.07030565158837196,-0.04242814534603844
2471608,1.367947079246857,0.5533809545343255,-0.040604589573388666
