,0,1,2,3,4,Mean,Std
recall,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7,0.8127272727272727,0.1338557259585888
precision,1.0,0.625,0.7142857142857143,0.8333333333333334,0.875,0.8095238095238095,0.14513315881234057
sensitivity,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7,0.8127272727272727,0.1338557259585888
specificity,1.0,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.9285714285714286,0.8142857142857143,0.1720227796970328
accuracy,0.84,0.72,0.8,0.88,0.8333333333333334,0.8146666666666667,0.06007402840570033
F1,0.7777777777777778,0.7407407407407406,0.8,0.8695652173913043,0.7777777777777777,0.79317230273752,0.047711493243512176
brier,0.17933908693714762,0.2184718045516427,0.19120369295528428,0.13226585537413196,0.16030590494717958,0.17631726895307723,0.03242156955895912
AUC,0.7792207792207791,0.7207792207792207,0.8311688311688312,0.9025974025974025,0.8857142857142857,0.823896103896104,0.07532803396005185
