,0,1,2,3,4,Mean,Std
recall,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.8,0.850909090909091,0.05362865892273678
precision,0.8181818181818182,0.625,0.75,0.7692307692307693,0.8,0.7524825174825175,0.07601442026111001
sensitivity,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.8,0.850909090909091,0.05362865892273678
specificity,0.8571428571428571,0.5714285714285714,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7714285714285714,0.11736911946539273
accuracy,0.84,0.72,0.8,0.84,0.8333333333333334,0.8066666666666666,0.05120763831912406
F1,0.8181818181818182,0.7407407407407406,0.7826086956521738,0.8333333333333333,0.8000000000000002,0.7949729175816131,0.03581008625435149
brier,0.16489748780253388,0.2068270380367323,0.17430344559520322,0.1357103317659301,0.17083584456271447,0.1705148295526228,0.025376863191051736
AUC,0.8116883116883117,0.7012987012987013,0.8116883116883117,0.9285714285714285,0.7928571428571429,0.8092207792207793,0.080888346551649
