,0,1,2,3,4,Mean,Std
recall,0.8181818181818182,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.9,0.8163636363636364,0.08870044303745793
precision,0.8181818181818182,0.7272727272727273,0.625,1.0,0.6923076923076923,0.7725524475524475,0.14497898741717088
sensitivity,0.8181818181818182,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.9,0.8163636363636364,0.08870044303745793
specificity,0.8571428571428571,0.7857142857142857,0.5714285714285714,1.0,0.7142857142857143,0.7857142857142858,0.15971914124998499
accuracy,0.84,0.76,0.72,0.88,0.7916666666666666,0.7983333333333333,0.06335525936249405
F1,0.8181818181818182,0.7272727272727273,0.7407407407407406,0.8421052631578948,0.7826086956521738,0.7821818490010709,0.04903920025375371
brier,0.17494800000000002,0.195104,0.183032,0.157724,0.17835416666666667,0.17783243333333335,0.013585688803745732
AUC,0.8116883116883118,0.7792207792207793,0.8084415584415585,0.827922077922078,0.8535714285714286,0.8161688311688312,0.02730401730092298
