0,original_shape_SurfaceArea,wavelet-HHL_firstorder_Median,original_shape_MinorAxis,wavelet-LHL_firstorder_Kurtosis,wavelet-LHL_firstorder_Skewness
1234026,-0.937182438791481,0.5148310340383041,-0.8151204235142384,-0.9469653533949817,0.4275182120078644
1290264,-0.7170106802515828,-0.241156911198811,-0.4445578198180461,-0.8377504869816093,-0.5850034502193281
1299628,0.5416702055448186,0.6016770248889611,0.3240400924385704,-0.9418267509936662,0.25924835811870395
1319857,0.13954440557211378,-0.3205359587256179,0.2556067601200976,-1.0442343393772144,0.021766731808528263
1340213,-0.03708677838782657,-0.04725378942436103,0.6000136995121453,-0.33924878366573097,-0.2142077816221971
1345116,-0.10419307428484717,-1.38189981502002,-0.7455558353315662,-0.6513592318535856,-0.12413999673951018
1360543,1.5572798473921392,0.07038947926644301,1.4199721047517257,0.2778212681469962,0.16665249366737017
1363165,-0.5607771092542383,0.3546966399701633,-0.4774632772071527,2.8983556330692695,-2.911855551507093
1404820,0.8355175730838241,0.024219326201968924,0.5605587647530365,-0.6280204652129264,0.27157755311669995
1422362,0.5189647756538719,0.15913919523291684,0.8331094138518503,0.0024216576631875164,2.000524794576096
1475214,-0.6043851371252852,0.4491724230882439,-0.19422298904571725,-0.10619574730957802,0.4928758705543219
1476232,-1.39989497403148,-1.1667059123192314,-1.9632721096847339,1.7108785839381935,0.9273784665084862
1482287,-1.4042991638215652,0.4715965359855048,-1.665534505495803,-1.0752072347041373,-0.1288639606772159
1494519,-1.054519905183768,2.8615841511064564,-1.3554034199067029,0.637662937898849,-1.6386417791122259
1503424,-1.3237579406033642,-0.34468300140318625,-1.536097888387583,-0.4556966700462134,-0.004369200169732365
1505342,-1.2499620853757507,-0.131095744123343,-0.41972457025869614,-0.5949913350920886,-0.1472457217806781
1506433,2.1879554668303314,1.929146235878225,2.2193240339206604,-0.5704346385644626,-0.27844799925737385
1513571,-0.48014675070378204,1.0960807680967317,-0.27147302324112166,-0.9203318724871945,0.160912997965626
1516688,-1.5498546797986243,-3.927743113194332,-2.0898469813546217,-1.2303986999390493,0.47712693040033266
