,0,1,2,3,4,Mean,Std
recall,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.8,0.850909090909091,0.05362865892273678
precision,0.8181818181818182,0.625,0.75,0.7692307692307693,0.7272727272727273,0.737937062937063,0.07147121708856573
sensitivity,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.8,0.850909090909091,0.05362865892273678
specificity,0.8571428571428571,0.5714285714285714,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.757142857142857,0.1083267920578793
accuracy,0.84,0.72,0.8,0.84,0.7916666666666666,0.7983333333333333,0.04913134324327892
F1,0.8181818181818182,0.7407407407407406,0.7826086956521738,0.8333333333333333,0.761904761904762,0.7873538699625655,0.03842990710142626
brier,0.17626465964922364,0.20927435962451896,0.17410291442452358,0.1350683289008123,0.18387271923771134,0.17571659636735795,0.026682540199095363
AUC,0.7922077922077921,0.7012987012987013,0.8116883116883117,0.9285714285714285,0.7857142857142857,0.8038961038961039,0.08154458481013298
