0,original_shape_SurfaceArea,original_shape_MinorAxis,wavelet-LHL_firstorder_Skewness,wavelet-LHL_firstorder_Kurtosis,wavelet-HHL_firstorder_Median,wavelet-LLL_glcm_Imc1
1234026,-0.937182438791481,-0.8151204235142384,0.4275182120078644,-0.9469653533949817,0.5148310340383041,1.0207093591639886
1290264,-0.7170106802515828,-0.4445578198180461,-0.5850034502193281,-0.8377504869816093,-0.241156911198811,0.09917152524160477
1299628,0.5416702055448186,0.3240400924385704,0.25924835811870395,-0.9418267509936662,0.6016770248889611,0.47940847574275786
1319857,0.13954440557211378,0.2556067601200976,0.021766731808528263,-1.0442343393772144,-0.3205359587256179,0.8842307730866298
1340213,-0.03708677838782657,0.6000136995121453,-0.2142077816221971,-0.33924878366573097,-0.04725378942436103,0.7285001797747793
1345116,-0.10419307428484717,-0.7455558353315662,-0.12413999673951018,-0.6513592318535856,-1.38189981502002,-0.7087963864031165
1360543,1.5572798473921392,1.4199721047517257,0.16665249366737017,0.2778212681469962,0.07038947926644301,0.36959633022982596
1363165,-0.5607771092542383,-0.4774632772071527,-2.911855551507093,2.8983556330692695,0.3546966399701633,-0.5005554456074672
1404820,0.8355175730838241,0.5605587647530365,0.27157755311669995,-0.6280204652129264,0.024219326201968924,0.7840609580367784
1422362,0.5189647756538719,0.8331094138518503,2.000524794576096,0.0024216576631875164,0.15913919523291684,1.0330196903074085
1475214,-0.6043851371252852,-0.19422298904571725,0.4928758705543219,-0.10619574730957802,0.4491724230882439,1.0943388648159358
1476232,-1.39989497403148,-1.9632721096847339,0.9273784665084862,1.7108785839381935,-1.1667059123192314,-0.6078136302493398
1482287,-1.4042991638215652,-1.665534505495803,-0.1288639606772159,-1.0752072347041373,0.4715965359855048,-1.0262112882597185
1494519,-1.054519905183768,-1.3554034199067029,-1.6386417791122259,0.637662937898849,2.8615841511064564,-0.8949797713873008
1503424,-1.3237579406033642,-1.536097888387583,-0.004369200169732365,-0.4556966700462134,-0.34468300140318625,-1.6998884387222695
1505342,-1.2499620853757507,-0.41972457025869614,-0.1472457217806781,-0.5949913350920886,-0.131095744123343,-4.750068798495576
1506433,2.1879554668303314,2.2193240339206604,-0.27844799925737385,-0.5704346385644626,1.929146235878225,0.7529654420563577
1513571,-0.48014675070378204,-0.27147302324112166,0.160912997965626,-0.9203318724871945,1.0960807680967317,0.49499087631134525
1516688,-1.5498546797986243,-2.0898469813546217,0.47712693040033266,-1.2303986999390493,-3.927743113194332,-0.1615496982910579
