0,original_shape_Compactness2,original_shape_LeastAxis,original_shape_Elongation,logarithm_glrlm_GrayLevelNonUniformity,exponential_firstorder_Minimum,exponential_firstorder_Kurtosis,exponential_glszm_SmallAreaEmphasis,exponential_glszm_SmallAreaLowGrayLevelEmphasis,squareroot_glrlm_LongRunLowGrayLevelEmphasis,wavelet-LHL_glcm_InverseVariance,wavelet-LHH_firstorder_Mean,wavelet-LHH_firstorder_Skewness,wavelet-LHH_firstorder_Kurtosis,wavelet-LHH_glcm_ClusterShade,wavelet-HLL_firstorder_Mean,wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,wavelet-LLH_firstorder_Skewness,wavelet-LLH_glcm_Imc1,wavelet-HLH_firstorder_Median,wavelet-HHH_firstorder_Skewness,wavelet-HHH_glcm_Autocorrelation,wavelet-HHL_firstorder_Kurtosis,wavelet-HHL_glcm_InverseVariance,wavelet-HHL_glcm_MaximumProbability,wavelet-HHL_glszm_GrayLevelNonUniformity
1234026,-0.3427881319752661,-0.38756246547620526,0.42943753712564536,-0.3840579365252099,-0.40759851769656275,-0.25697046348224195,1.3126344349906562,1.2991156135985307,-0.3963736715670597,1.4264976687322761,-0.385680988763966,-0.5184186314049365,-0.6529401036635053,-0.10139075866652157,0.017934149771535027,-0.7313831635833191,-1.0980735085996824,0.34554052696429394,0.6604126297383303,0.5783337100295705,-0.8084249426979024,-0.13947615476860709,-1.7989587956702233,1.2603529306423864,-0.4615491629570956
1290264,1.6518965701150106,-0.5361466107864193,0.07160480103801437,-0.38016444193842247,2.3601940273983932,2.2028154502259785,-0.9147177557488534,-0.8224711424574336,0.4860254895298609,0.394030304584181,-0.6120166988507718,-0.3349290083058022,-0.5057801356003383,-0.09905574369329892,0.5743542148431848,-0.25544985216405486,1.2987817044259096,0.5314466819437725,-0.025303279708921853,0.49068510092431883,-0.7940811908460473,-0.354140486528403,-1.7016128202357148,1.319850301833354,-0.5091959130704622
1299628,0.6105326733708762,1.0924027260243037,1.4892793212569002,0.32796901953442126,-0.32156278501800173,0.5389718503277233,0.35584829180707583,0.3293218229187929,-0.44682821149063373,0.6574140200810248,-0.9535305936069455,-0.5346794897067525,-0.669455820275192,-0.11541513291460859,1.392393565514496,0.7621457316329493,0.008056985231594802,0.15638178136935924,0.18782399294909893,-0.14783162572530792,-0.2230008926786441,-0.8070035866674502,-2.573924061809176,1.209871644655297,0.012342838168028981
1319857,0.06031296233836366,0.1548057823433926,0.10579148885414834,0.30063292925230356,4.256564999794093,-0.645992748859641,0.710524580910773,0.7255952690141524,-0.07899526413607819,1.2514587454231982,-0.62572720528808,-1.1223993329191346,-0.046217151459621256,-0.10002070861469156,0.39967131232976116,-1.5545767436603066,0.5940678957544069,0.30891984763510827,-0.5929037670549062,0.15199054707327142,-0.803918030173852,-0.7452281864111046,-0.6472376733111814,0.3592956100592288,-0.570456020358566
1340213,0.3616167895751269,0.18637030598224333,0.670724897113313,-0.7419200455904149,0.41120829915584206,-0.7063272553389869,1.132889333099737,-0.33732132662847486,-0.32260444045908276,1.2965979441357274,-0.31830647632794573,-0.50616278644903,-0.6138006371387763,-0.09836040492657443,0.5486603064576053,-0.57072258406513,-0.1642727492518679,-1.0052893202324846,-0.31153020501829565,0.14039949044830966,-0.8036294830093401,-0.7870283390901075,-0.7809412868016721,1.5798761249005233,-0.6521361634098476
1345116,-1.3167858619652426,0.09865838382483717,-0.623509419644081,-0.5262580669896425,1.1291668113970328,1.2028010314126063,0.4383812460146189,1.0788085849210816,-0.29200137994112246,1.2728738182463848,-0.3177416301245398,-0.07855611008842706,-0.5829874929587888,-0.09679219367931173,0.2728657450739609,0.6625476089505552,1.6231949858343935,-0.46895423596979546,0.5078576704594914,-0.01695962440154277,-0.8088695902521069,-0.5000104332417604,1.018188198475905,-0.10813013243983753,-0.15184528722199875
1360543,-1.4758750341738394,0.9282332769213284,-0.3469582371070814,-0.5506584807633902,-0.718634727169098,-0.4536715284101993,0.2262005812716659,0.264268732120093,-0.3380844615106702,1.2301068867560037,0.9010285820512607,3.3919890306544946,2.404091829588843,-0.0355083313977296,-0.05994329348371484,-0.03954347970326986,0.18414499857500857,0.05493113615901939,-0.3595299790365181,-0.3678239346826862,-0.8029892950186758,-0.1465043906800202,0.021508882838211812,0.17290562126749234,-0.3948437127989539
1363165,1.0178719005237156,0.03349798463623147,1.2224721955845876,-0.9705141110599618,-0.7232772740245396,-0.6772570082054572,-0.9778225473269554,-0.8825804850174709,-0.25275403942701963,1.4919747727601562,-0.3185967584976424,-0.1862921834084992,-0.6227460166461883,-0.09810859350080224,-0.8443243852237826,-0.3876671895708707,0.7732247620337144,-0.8923295438461376,-0.7139582965939766,-0.024128346791786555,-0.8061816617761355,-0.7093099934295227,-0.39637547256755984,0.36921899375935835,-0.6283127883535217
1404820,0.11785465201822888,1.4987431967629459,-0.0954230595918844,2.122691155966423,-0.4949272999427718,-0.5266036329349174,-0.2047939655219825,-0.14626052724931699,-0.3114569535337958,0.36415791460176294,-0.2213285597137012,-0.16915173335435427,-0.632326756839802,-0.09744297933750683,0.2741770216338618,0.06778681425157286,-0.6921601763240693,0.2840548799830819,-0.07625952061203044,-0.15347286195544899,-0.8059845681209676,-0.721006287054943,-1.1327582102637574,0.8595726214022873,-0.2569484124712523
1422362,-0.9107852503974844,0.5909811303008651,1.0330905939660424,1.0908127499463427,1.31215188961313,-0.4955365080623544,-0.97782294835522,-0.8825820129613294,-0.17925537898838456,0.4624145068621288,0.16286837982512828,-0.0036978133163349234,-0.5531177827652177,-0.09684503578628188,0.25219136911981155,-0.5372301898299088,0.8203535532110267,0.5180103290066195,0.2673627269420505,0.1392232577091451,-0.8087736510149584,-0.34413826333203534,0.2942304463763756,0.7703762042359394,-0.3332694511141857
1475214,0.9610231829088656,0.035522670477489665,1.1429952388474107,-0.464245303137042,-0.26104969877293815,-0.442985102600201,0.3797649274815337,0.4105412243380466,-0.428837763698838,1.1550348713288492,0.2227955276849644,0.019396973156253477,-0.3972429132020869,-0.086823368071577,-0.12225015827556356,0.5505622382621711,-0.8998126925249154,0.11346951685826735,-0.04373741866390922,-0.03311582352062945,-0.2192565789770811,0.9037037813118219,0.16288438005657152,-0.22889191009836002,-0.3169659212350081
1476232,1.9279105173365374,-0.7509360657061851,-0.06748821605417861,-0.9637277973443846,1.6450792679612782,-0.7820313416109864,-0.977821993625627,-0.8825783753792756,-0.35306295554914147,0.7593695409131797,-0.5441363976643996,-0.4555658934589999,-0.3751485122364552,-0.10358532341562188,-0.8452028722446282,-0.7175126478792405,0.44405332905671285,0.09478916959773091,-0.8355339415954554,0.211742460709661,-0.22447769281002142,2.0371008241476205,-0.8963292247433058,0.63075642394191,-0.49728422554194185
1482287,2.082501216442319,-0.3878879918674991,1.2439450949667228,-0.6015054125569438,0.2779740587401403,-0.355937292696816,-0.9778221966881888,-0.8825791490608877,-0.29686538918427113,1.5395865155111512,-0.21132030827324544,-0.1777403285377844,-0.6737372671643947,-0.09391929604665648,0.5763893795435538,0.0676984645035003,-0.8753621217244738,-0.4437847198054008,-0.605419895143758,-0.3882868762623335,-0.805895955471006,-0.8666946290130624,0.39577219230639693,0.13422706340876048,-0.6283127883535217
1494519,0.9135088796046263,-0.6757293493643424,-1.1283534358156337,-0.8695727767847663,-0.5724602325179907,0.11539917752736849,-0.9778228332752682,-0.8825815744992035,-0.40912274128143317,0.6375767381614079,0.26970842645824566,1.507420401114858,0.2877591223465566,-0.029013461649882832,-0.1569828449446013,-0.8148647610736466,1.3927595998387183,-0.2809081159217498,-1.2442704251103416,0.09895710357849787,-0.22024426217941234,-0.540125760279984,0.6246598109442311,0.35251720507277085,-0.5201913169429975
1503424,0.8726353692482144,-0.8786167936350904,0.7199843362810765,-1.2494460349226129,0.30375727668273955,-0.7335307060581138,0.31288821827350716,0.033962335921699296,-0.4466067575073878,-1.2904533814227075,0.6675161544132466,-0.5789055449577155,-0.3308354070797838,-0.13410553975154363,-1.6711763990832673,1.5056842288943242,0.034332384038475154,-2.411701846499537,2.6990924188695304,-0.7559330314028644,0.6574101009379199,-0.7528567352186466,-2.0001872794743174,0.7609134814400256,0.695586196929866
1505342,-1.830720675548397,-0.8931515650624166,-2.573282136819999,-1.3869092074771425,1.1812377194695733,0.6871229505040942,1.5675667387427157,0.021427314028476765,-0.3955834239325253,-0.9509532596640999,5.877105433989753,1.1303486473847415,-0.04057871550769235,0.390299118753699,-6.679061309914401,3.6437805654797635,0.44606185716063496,-4.67242222393747,0.705834898276849,-2.3138261811187277,1.8069619375650492,0.183521138884876,0.18556236987751604,-4.092380492280955,0.7889349318468415
1506433,-0.06362591158566162,0.8141441472460651,-0.37885923865107646,1.3085413190280928,-0.7244003752094302,-0.06464331675002472,0.38142365432006403,1.218459984466996,-0.4427555318161388,0.7266685802689433,-0.37262585075692817,-0.6062341360751837,-0.26364416360228676,-0.10366307122581471,0.2183932103445912,-0.25752537421156557,-0.4206099299223142,0.7195279666293659,0.26927782817195334,-0.07570921394031893,-0.22300365974583092,0.003526602096694076,0.6327350642680768,-0.21984072554036976,0.06256508828707932
