,0,1,2,3,4,Mean,Std
recall,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.7,0.7763636363636364,0.10787197799411875
precision,0.7777777777777778,0.6923076923076923,0.6428571428571429,0.7692307692307693,0.7,0.7164346764346764,0.056604476185309276
sensitivity,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.9090909090909091,0.7,0.7763636363636364,0.10787197799411875
specificity,0.8571428571428571,0.7142857142857143,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.7571428571428571,0.08144110179279553
accuracy,0.76,0.76,0.72,0.84,0.75,0.766,0.044497190922573975
F1,0.7000000000000001,0.7500000000000001,0.7200000000000001,0.8333333333333333,0.7,0.7406666666666668,0.05569759619788109
brier,0.20026,0.17698400000000003,0.207364,0.13916,0.211275,0.1870086,0.029869638461153147
AUC,0.737012987012987,0.827922077922078,0.724025974025974,0.8733766233766235,0.7285714285714285,0.7781818181818183,0.06823683618185983
