,0,1,2,3,4,Mean,Std
recall,0.8181818181818182,1.0,0.7272727272727273,0.8181818181818182,0.8,0.8327272727272728,0.10074105583414593
precision,0.6923076923076923,0.6470588235294118,0.6666666666666666,0.8181818181818182,0.8,0.7248430001371178,0.07882594709949635
sensitivity,0.8181818181818182,1.0,0.7272727272727273,0.8181818181818182,0.8,0.8327272727272728,0.10074105583414593
specificity,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7428571428571429,0.11952286093343935
accuracy,0.76,0.76,0.72,0.84,0.8333333333333334,0.7826666666666667,0.05198290317231448
F1,0.7500000000000001,0.7857142857142858,0.6956521739130435,0.8181818181818182,0.8000000000000002,0.7699096555618297,0.048466444093013455
brier,0.204808,0.16261199999999998,0.20953600000000003,0.15539199999999997,0.18628749999999997,0.18372709999999998,0.024319666178835613
AUC,0.7402597402597403,0.8506493506493505,0.737012987012987,0.8701298701298702,0.775,0.7946103896103895,0.06224865127802807
