,0,1,2,3,4,Mean,Std
recall,0.6363636363636364,1.0,1.0,0.8181818181818182,0.7,0.8309090909090908,0.16757877141242913
precision,0.7777777777777778,0.6111111111111112,0.6470588235294118,0.8181818181818182,0.875,0.7458259061200238,0.11274446687110053
sensitivity,0.6363636363636364,1.0,1.0,0.8181818181818182,0.7,0.8309090909090908,0.16757877141242913
specificity,0.8571428571428571,0.5,0.5714285714285714,0.8571428571428571,0.9285714285714286,0.7428571428571429,0.19298937265866137
accuracy,0.76,0.72,0.76,0.84,0.8333333333333334,0.7826666666666667,0.05198290317231448
F1,0.7000000000000001,0.7586206896551725,0.7857142857142858,0.8181818181818182,0.7777777777777777,0.7680589142658109,0.04370231641676164
brier,0.23967355806862375,0.23933088816911852,0.1909833301648981,0.14674895879763852,0.17676127157189805,0.19869960135443537,0.040526124333000145
AUC,0.6688311688311688,0.7337662337662338,0.8051948051948052,0.8441558441558441,0.8,0.7703896103896104,0.06925500481813275
