,Coefficients
original_shape_Compactness2,-0.08005361971278815
wavelet-LHL_glcm_InverseVariance,-0.060214369315114875
wavelet-HHH_firstorder_Skewness,-0.03380014835672389
exponential_glszm_SmallAreaLowGrayLevelEmphasis,-0.03070995151270655
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,-0.026522719429131637
wavelet-LHH_glcm_ClusterShade,-0.022397709510879774
exponential_glszm_SmallAreaEmphasis,-0.02217394649765053
wavelet-HLL_firstorder_Kurtosis,-0.02100958190047848
wavelet-LLH_firstorder_Median,-0.011946656042917283
exponential_glcm_Correlation,-0.01151287963871153
wavelet-LHH_firstorder_Skewness,-0.007237790847751637
exponential_glszm_ZonePercentage,-0.0013307918242257185
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.0002709588186408534
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.007248094924529633
logarithm_glszm_GrayLevelNonUniformity,0.008631603646347923
wavelet-LLH_glcm_Imc1,0.009853892737369977
wavelet-HLL_firstorder_Mean,0.015159535207195977
exponential_firstorder_Minimum,0.015914790591153496
wavelet-LHH_glszm_SizeZoneNonUniformity,0.01591777596159772
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.016949795217822902
original_shape_Maximum2DDiameterRow,0.018271272231786883
wavelet-LLH_firstorder_Skewness,0.020377604576892243
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.03653782182732266
square_glcm_InverseVariance,0.04273367157442342
wavelet-HHH_glszm_SizeZoneNonUniformity,0.06904709181383456
wavelet-HHH_firstorder_TotalEnergy,0.08405452538354903
logarithm_glrlm_GrayLevelNonUniformity,0.1299563307305714
intercept(non-feature),0.43434343434343425
