,Coefficients
wavelet-LHL_glcm_InverseVariance,-0.08618040129031382
original_shape_Compactness2,-0.04066847409183287
original_shape_Compactness1,-0.03483566318380103
wavelet-LHH_glcm_Correlation,-0.032947132294328246
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,-0.028015784958591024
wavelet-HHL_glcm_MaximumProbability,-0.021002780604170206
wavelet-LHH_firstorder_Kurtosis,-0.018609099647241643
wavelet-HHH_firstorder_Skewness,-0.016326997228675914
wavelet-HHL_firstorder_Kurtosis,-0.015392740805457003
exponential_glszm_SmallAreaHighGrayLevelEmphasis,-0.010000353348197995
wavelet-LHH_firstorder_Skewness,-0.006316249913442163
squareroot_glrlm_LongRunLowGrayLevelEmphasis,-0.00032215579592323153
square_glcm_Imc1,0.000114847956856831
wavelet-HLL_glcm_Imc1,0.004481292121445893
wavelet-HLH_firstorder_Mean,0.00807702592813939
logarithm_glszm_GrayLevelNonUniformity,0.0314504198859688
wavelet-LLH_firstorder_Skewness,0.03425988128698956
logarithm_glrlm_GrayLevelNonUniformity,0.10104379291613079
original_shape_SurfaceArea,0.11287077807578698
intercept(non-feature),0.4343434343434344
